Kinases,Interaction,Target Protein
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
ATM_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP3K10_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK8_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPKAPK5_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
